cluster_number	contributing_patients	num_tcrs_in_clust	total_reads	is_cancer_assoc
39973	31	104	421	False
7704	2	2	10	False
5822	22	40	460	False
48116	2	2	11	False
15143	29	114	387	False
29167	1	1	8	False
22366	2	2	4	False
37817	21	56	271	True
2896	29	80	291	False
33083	12	14	31	False
35905	23	58	229	False
16436	12	17	45	False
30056	18	26	68	False
43655	3	3	7	False
32457	21	33	187	False
18803	8	9	22	False
9519	27	99	185	False
29242	26	65	192	True
39074	15	25	66	False
46434	1	1	5	False
2743	12	13	35	False
28821	19	35	151	False
9993	2	2	11	False
42975	20	41	116	False
7977	22	41	198	False
33612	34	114	380	False
25201	24	61	371	False
24274	5	6	23	False
33853	31	166	1119	False
495	16	26	53	False
21256	33	98	391	True
44954	34	92	460	False
13824	13	15	46	False
18988	15	30	115	False
2929	12	24	116	False
43581	19	40	450	False
19328	28	56	178	False
16503	18	29	80	True
24128	1	1	3	False
46056	24	58	615	False
41808	25	71	129	False
36433	3	3	10	False
34263	24	57	158	False
14222	7	9	39	False
22317	27	76	277	False
22314	23	62	452	False
36194	27	76	201	False
38478	2	2	10	False
31725	26	87	379	False
20887	39	492	6565	True
737	24	48	314	False
3895	31	57	108	True
25224	32	142	780	False
51494	9	14	31	False
51446	7	9	21	False
12636	2	2	24	False
27992	2	2	4	False
45202	1	1	5	False
15209	1	1	13	False
41836	15	21	74	False
46588	32	88	286	True
18946	18	31	197	False
50869	36	157	726	True
3463	3	3	11	False
24270	21	31	108	False
22137	24	53	113	False
38317	32	178	548	True
24023	13	16	65	False
12421	2	2	7	False
41916	2	2	3	False
25743	2	2	9	False
30048	30	113	256	False
22345	15	19	122	False
26913	34	151	779	True
41816	8	8	30	False
34897	15	30	105	False
37550	2	2	25	False
4846	21	31	97	False
8682	25	52	293	False
6628	15	20	43	False
34430	36	202	456	True
41555	36	266	750	True
36381	35	177	615	False
15596	33	149	331	True
32148	9	13	47	False
18551	28	113	377	False
49412	28	54	122	False
40420	9	11	25	False
1592	25	74	249	False
17643	8	11	42	False
14725	18	30	68	False
20832	3	3	68	False
13808	32	164	635	True
6641	17	28	75	False
10408	35	207	730	True
26396	27	53	140	False
784	9	11	33	False
21563	30	120	362	False
37228	18	32	129	False
34597	27	100	321	False
17504	1	1	2	False
19099	3	3	10	False
2912	26	88	271	True
26774	8	8	36	False
37911	35	180	859	False
4625	34	102	1104	False
22996	1	1	16	False
32112	36	166	554	False
2930	10	10	19	False
