cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
10062	12	46	107	32	164	717	False
36931	3	3	21	7	8	11	False
13118	12	73	476	36	241	683	True
13132	4	9	15	20	32	199	True
12456	13	51	83	33	180	808	True
9331	1	1	8	1	1	1	False
5042	7	11	31	21	38	67	True
49245	1	1	2	2	2	2	False
2181	12	42	192	33	138	1518	False
41808	5	12	20	25	71	129	False
29282	3	4	4	6	7	7	False
10477	1	1	1	1	1	2	False
17236	4	8	15	20	24	65	False
48785	10	18	29	24	69	197	False
34457	4	5	13	20	24	214	False
5451	6	8	10	19	31	72	False
40629	1	2	4	5	6	6	False
45614	3	3	6	10	12	116	False
10641	7	8	21	17	31	48	False
38346	4	4	14	14	19	750	False
32803	9	12	18	23	41	139	False
2322	10	22	33	30	81	233	False
28604	7	13	28	25	59	492	False
7578	4	6	11	13	18	62	False
8573	3	5	10	7	9	30	False
28572	9	24	49	28	100	479	True
22169	1	1	19	7	7	34	False
28850	11	13	32	28	61	142	True
7558	9	13	26	27	53	107	True
7528	13	61	166	36	237	751	True
931	9	13	27	29	74	315	False
16428	8	16	94	27	84	294	False
9389	10	33	118	34	118	726	False
31458	8	15	21	28	66	202	True
11740	4	10	22	14	26	53	False
15121	11	27	484	28	97	209	True
23605	10	19	32	26	80	467	False
34607	5	8	13	19	35	83	True
5046	5	8	9	25	52	105	True
9865	4	4	16	20	31	70	False
9896	3	3	15	8	14	58	False
8534	10	13	24	28	57	205	False
25656	1	2	4	5	5	23	False
40422	9	21	43	25	75	203	False
2916	2	2	2	11	14	24	False
15114	12	56	432	37	189	1778	False
27156	2	2	4	6	6	14	False
49418	5	13	30	25	72	245	False
46590	5	10	14	20	35	61	False
15160	2	2	3	8	11	31	False
21596	1	1	3	3	3	4	False
46762	11	35	78	34	132	837	True
46761	4	4	5	16	26	67	False
18995	2	2	4	7	7	15	False
15070	2	2	6	1	1	1	False
13974	7	21	84	26	94	277	False
14049	5	5	8	11	16	34	False
33360	13	60	167	36	247	858	False
33859	3	4	9	11	11	31	False
27304	6	7	24	17	26	313	False
32118	11	25	95	26	89	852	False
43544	8	20	43	25	40	191	True
8729	5	6	36	17	29	125	False
32452	2	2	7	11	13	53	False
43640	2	3	5	2	3	4	False
8687	2	2	5	18	32	109	False
43619	6	10	21	19	31	154	True
1609	1	3	9	12	22	46	False
29238	1	1	2	1	1	1	False
27477	11	42	242	32	132	3008	False
1566	4	8	9	16	27	132	False
43170	3	3	27	2	2	2	False
31149	11	27	104	34	127	477	False
31161	5	16	85	24	66	222	False
23779	10	24	63	31	84	653	False
31162	6	11	18	28	62	169	False
18868	1	1	1	2	2	3	False
3341	11	25	61	34	114	850	False
39573	1	1	3	1	1	1	False
3732	1	1	2	1	1	1	False
3679	4	7	18	18	26	163	False
14837	1	1	2	1	1	1	False
50868	7	12	21	26	67	197	False
22318	2	5	10	21	31	203	False
50883	9	31	76	31	113	341	False
3356	1	2	3	17	27	228	False
31142	8	18	30	30	81	713	False
22313	13	85	269	37	292	1793	True
7970	4	6	8	18	30	61	False
43284	1	1	3	1	1	3	False
17824	9	19	34	26	75	434	False
1376	2	2	10	9	9	18	False
7092	12	47	107	36	161	604	True
7096	11	21	42	28	69	365	False
13588	6	7	9	25	57	239	False
9544	5	10	24	30	75	165	False
28138	2	2	20	3	3	7	False
7110	10	27	94	30	110	338	True
46055	3	5	5	22	30	193	False
48585	11	49	391	36	221	1655	False
51221	11	41	176	34	149	818	False
36705	5	7	22	23	44	285	False
22776	7	13	36	25	78	205	False
22518	5	5	10	11	14	30	False
22875	1	1	1	2	2	2	False
31743	3	5	8	12	17	26	False
1292	13	42	164	34	145	653	True
51261	5	6	14	21	30	77	False
34270	5	8	11	21	39	120	True
51233	11	23	106	26	78	237	True
17839	6	9	12	17	23	277	False
28097	8	19	43	32	78	416	False
25206	13	60	202	36	241	1154	False
25284	4	5	14	6	6	18	False
24209	4	8	12	26	57	1310	False
24255	3	6	14	14	22	62	False
25247	7	12	20	23	66	273	False
44177	9	16	41	19	34	185	False
25886	1	1	3	1	1	3	False
44166	3	4	8	15	20	49	False
1807	7	10	31	17	29	1012	False
1797	11	44	99	36	207	918	True
39128	7	10	21	31	67	314	False
26650	4	5	5	13	20	67	False
39126	1	2	3	9	15	36	False
14387	1	2	4	3	4	5	False
27059	9	17	30	22	39	257	False
33444	1	1	3	1	1	1	False
4652	3	3	7	5	6	18	False
20512	1	1	3	1	1	1	False
35502	1	1	5	1	1	2	False
51627	1	1	6	1	1	1	False
35298	5	5	7	8	12	45	False
20420	4	6	29	20	33	135	False
42949	7	12	24	18	32	79	False
34290	1	1	13	4	4	86	False
47446	1	1	3	10	10	43	False
29960	1	2	9	3	3	4	False
15316	7	9	12	10	11	19	False
27153	7	14	26	26	45	94	False
38516	12	32	94	30	89	496	True
