cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	is_cancer_assoc
39988	13	51	82	30	123	326	True
20030	2	2	3	3	3	3	False
23986	7	12	40	10	18	22	False
5639	4	5	10	8	8	8	False
22910	5	11	20	30	65	201	False
32799	11	24	85	25	61	350	True
5315	1	1	7	1	1	1	False
42933	10	19	26	24	49	222	False
7754	1	1	6	1	1	1	False
19631	6	9	16	14	21	58	False
28837	9	19	43	22	36	54	False
28616	6	13	71	16	28	70	False
28599	8	11	33	15	23	65	False
28809	5	7	13	10	11	20	False
28800	4	6	15	10	13	36	False
41922	1	1	1	1	1	2	False
984	2	2	7	7	8	65	False
19684	1	1	5	2	2	5	False
6244	2	3	9	2	2	3	False
36368	1	1	2	1	1	2	False
28627	2	3	7	11	12	22	False
28644	6	13	19	14	28	44	False
1182	1	2	4	1	1	1	False
12948	10	21	113	26	57	153	True
7611	4	4	9	8	10	22	False
6013	8	13	23	16	25	129	False
28857	3	3	8	8	8	23	False
5802	4	7	14	7	9	105	False
925	1	2	3	12	12	37	False
28804	5	8	18	6	11	18	False
28819	11	36	74	27	60	273	True
11478	3	3	5	4	4	6	False
9399	7	18	40	24	49	149	True
11467	6	8	23	21	30	58	False
533	1	1	2	1	1	1	False
32617	7	13	27	23	35	100	True
5043	5	5	10	9	11	28	False
15568	1	1	1	1	1	1	False
47467	5	7	31	9	10	14	False
44638	6	15	21	22	53	239	False
38693	4	9	37	16	25	172	False
49705	1	1	2	1	1	1	False
52252	8	18	116	16	34	114	False
27183	1	1	1	3	4	4	False
23619	5	10	20	8	13	35	False
8555	3	6	11	7	7	9	False
9870	10	15	173	19	32	250	False
42028	8	9	43	21	31	60	False
9864	8	19	37	29	57	207	False
15131	8	22	76	24	52	360	False
18551	10	21	28	31	82	300	False
18599	2	2	3	7	8	12	False
49449	3	4	6	8	9	19	False
23639	6	9	15	19	34	76	True
49425	5	7	17	13	16	140	False
44624	11	20	62	22	40	159	False
373	8	19	78	25	51	126	False
49409	2	2	6	17	27	47	False
15127	7	8	23	22	54	189	False
381	3	4	7	6	7	13	False
14923	6	14	32	13	18	117	False
52245	6	7	14	10	11	32	False
42061	1	1	1	5	5	18	False
9908	1	1	2	1	1	1	False
42053	4	4	13	5	5	83	False
40426	7	9	13	14	20	56	False
46687	1	1	2	1	1	5	False
37633	2	2	4	1	1	1	False
33342	7	9	24	20	32	94	False
13981	6	9	14	16	19	79	False
24465	10	28	89	32	98	264	False
13979	10	15	47	25	75	322	True
30080	1	2	5	1	1	1	False
17431	6	9	16	17	30	57	False
21702	5	6	15	12	20	46	False
47105	13	71	147	36	233	802	True
30059	5	6	7	14	21	73	False
18988	5	6	8	12	24	46	False
14905	10	28	370	33	88	931	False
46759	3	5	19	6	7	61	False
31470	2	3	4	5	5	8	False
13996	5	8	18	19	35	284	False
47118	4	7	15	21	29	80	False
33393	3	6	12	23	40	163	False
32563	1	1	8	1	1	1	False
22942	1	1	1	2	2	4	False
32296	5	7	14	7	11	31	False
13596	5	7	18	8	10	30	False
1625	2	2	4	4	4	12	False
27297	1	1	9	4	4	5	False
8706	11	17	24	24	46	407	False
40234	4	5	36	11	12	329	False
29076	9	15	61	25	44	136	False
8749	6	7	14	14	19	303	False
8726	2	2	11	9	12	15	False
27479	9	25	83	27	80	284	True
43574	4	6	12	21	34	125	True
43575	6	6	52	9	13	25	False
1664	3	3	4	6	6	9	False
40199	4	6	28	21	27	46	False
40244	4	4	28	5	6	80	False
8727	7	10	43	18	28	59	False
50033	8	11	49	22	41	65	False
1612	3	4	12	9	11	30	False
35726	1	1	1	1	1	1	False
43272	1	1	2	1	1	3	False
7977	3	5	7	19	25	40	False
37837	3	4	7	4	4	9	False
37808	6	7	29	21	44	250	True
51033	3	4	8	2	2	2	False
39502	1	1	2	1	1	1	False
3672	7	12	29	18	33	113	True
39672	6	8	19	25	42	182	False
17773	1	1	1	1	1	2	False
26742	5	6	17	11	17	47	False
17609	3	4	8	8	8	12	False
37924	5	7	12	8	8	49	False
20737	1	1	1	4	4	7	False
39652	8	14	43	19	35	112	True
26744	7	15	24	31	55	137	False
39658	8	19	33	30	65	208	False
49831	7	10	44	15	23	75	False
37936	5	6	11	7	11	19	False
50651	3	7	9	12	13	44	True
39663	7	10	16	22	35	122	False
26758	2	3	16	8	8	88	False
14705	4	8	34	17	22	104	False
3690	3	3	7	4	4	6	False
50660	4	5	17	9	13	76	False
25972	11	26	109	28	86	272	False
31252	1	1	6	1	1	2	False
14704	2	3	21	11	16	27	False
23773	3	5	9	5	6	13	False
43159	3	4	10	13	13	129	False
51834	1	1	1	1	1	1	False
18815	1	1	1	4	6	18	False
31761	3	4	5	9	11	15	False
42978	6	6	8	16	22	81	False
22514	9	35	91	36	120	489	True
19880	11	34	67	31	100	210	True
7097	8	25	61	30	74	321	True
30782	4	6	15	18	21	26	False
44072	9	18	61	25	41	131	False
21033	10	30	53	33	87	414	True
17048	1	2	5	5	8	8	False
6645	1	1	2	1	1	1	False
40827	4	10	19	18	32	48	True
10970	3	3	39	9	11	15	True
26390	4	6	35	19	27	52	False
31297	8	10	24	20	28	149	False
